City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
328,Weligama,LK,76.87,overcast clouds,5.9667,80.4167,Weligama Bay Resort
330,Lakhimpur,IN,70.21,clear sky,27.95,80.7667,Hotel Landmark Royale & Funn Mall Lakhimpur Kheri
334,Virbhadra,IN,66.33,clear sky,30.0712,78.2819,GANGA KINARE - A Riverside Boutique Resort
335,Cambrils,ES,65.71,clear sky,41.0748,1.0524,Sol Port Cambrils
336,Ponnani,IN,76.32,moderate rain,10.767,75.9252,Rouba Residency
341,Bristol,US,72.3,clear sky,41.8334,-71.1662,
342,Beloha,MG,70.39,broken clouds,-25.1667,45.05,
344,La Libertad,EC,71.26,overcast clouds,-2.2333,-80.9,Playa Canela Hotel Boutique
345,Barhi,IN,68.65,clear sky,23.9,80.8,Happy ka ghar
346,Isoka,ZM,74.84,overcast clouds,-10.1606,32.6335,Location Compound
352,Pirgos,GR,65.62,clear sky,35.1167,25.7178,Elpida Village
354,Cap Malheureux,MU,73.47,broken clouds,-19.9842,57.6142,Pereybere Hotel & Spa
362,Kodumudi,IN,73.9,scattered clouds,11.0775,77.8836,Aadvin Hotel
365,Sakakah,SA,71.17,broken clouds,29.9697,40.2064,Fakhamat Al Orjoana Apartment
366,Zahir Pir,PK,78.06,clear sky,28.8124,70.524,The Secret Service Bed and Breakfast
375,Xuddur,SO,78.1,light rain,4.1213,43.8894,Banjanay Hotel
381,Mahenge,TZ,72.0,clear sky,-8.6833,36.7167,Mahenge ulanga
382,Dodoma,TZ,78.94,broken clouds,-6.1722,35.7395,Royal Village Hotel
